Order ID,Product Name,Category,Price,Quantity,Customer Name,Date
, Messi ,Sports,,,John,
,,Sports,,,john ,
2,,sports,,-1,J0hn,2024-01-01
ORD3,,Electronics,,-1,J0hn,2024-01-01
,,Electronics,unknown,,,
ORD5,,sports,417.83,,,01/02/2024
,Messi,Elec ,,1,john ,01/02/2024
,,Electronics,,,J0hn,2024/13/01
ORD8,messi,Electronics,,,JOHN,
ORD9,,Electronics,,9,JOHN,
10,,Elec ,359.22,,,
, Messi ,Sports,333.99,,john ,01/02/2024
, Messi ,,,,,2024/13/01
ORD13,Messi,,unknown,,JOHN,2024/13/01
ORD14,messi,Elec ,,6,JOHN,2024-01-01
, Messi ,Electronics,unknown,,JOHN,2024-01-01
,MESSI,Sports,163.62,,,2024/13/01
, Messi ,Electronics,,,,01/02/2024
,Messi,,unknown,,john ,
ORD19,,Sports,,,John,2024-01-01
,,,,,,2024/13/01
21, Messi ,,162.22,-1,J0hn,
,,Electronics,273.13,,JOHN,
23,,,unknown,-1,John,
,Messi,Electronics,unknown,-1,,2024/13/01
,Messi,Sports,100.11,,John,01/02/2024
ORD26,,Elec ,unknown,,,2024-01-01
ORD27,Messi!!,Elec ,unknown,,john ,
, Messi ,,,-1,,01/02/2024
,Messi,,286.85,6,J0hn,
,,,unknown,-1,J0hn,2024-01-01
,MESSI,Elec ,,-1,J0hn,2024-01-01
ORD32,,,unknown,2,,
33, Messi ,sports,309.83,,,2024/13/01
,,,324.84,6,,01/02/2024
35,MESSI,,unknown,-1,John,2024-01-01
36,,,,,J0hn,
ORD37,,,,6,,2024/13/01
,messi,Sports,261.6,6,john ,01/02/2024
,messi,,,,J0hn,01/02/2024
, Messi ,,,,,2024-01-01
41,,sports,,2,John,
,,sports,358.44,4,John,
,Messi!!,sports,,6,J0hn,2024/13/01
ORD44,,Electronics,,,J0hn,2024/13/01
,Messi,,143.7,-1,John,
,messi,Sports,,2,,2024/13/01
,,Elec ,230.78,8,JOHN,
48,Messi,sports,329.52,,,2024-01-01
49,Messi,Elec ,unknown,,,
50, Messi ,,,-1,,01/02/2024
51,,,,,,01/02/2024
,MESSI,,unknown,,J0hn,
ORD53,Messi!!,,63.17,,john ,2024/13/01
